scenario,algorithm,algo_label,run_id,n_flows,end_mape,end_jfi_c,duration_s,change1_mape_at_change,change1_recovery_flows,change1_recovery_time_s,change1_mape_at_n10,change1_mape_at_n30,change1_mape_at_n50,change1_mape_at_n100,change1_mape_at_n200,change1_cde,change1_n_post_change,change2_mape_at_change,change2_recovery_flows,change2_recovery_time_s,change2_mape_at_n10,change2_mape_at_n30,change2_mape_at_n50,change2_mape_at_n100,change2_mape_at_n200,change2_cde,change2_n_post_change,change3_mape_at_change,change3_recovery_flows,change3_recovery_time_s,change3_mape_at_n10,change3_mape_at_n30,change3_mape_at_n50,change3_mape_at_n100,change3_mape_at_n200,change3_cde,change3_n_post_change,change4_mape_at_change,change4_recovery_flows,change4_recovery_time_s,change4_mape_at_n10,change4_mape_at_n30,change4_mape_at_n50,change4_mape_at_n100,change4_mape_at_n200,change4_cde,change4_n_post_change
frequent_changes,wlc,WLC,15,380,28.1871,0.914391,154.69,29.9726,20,0.22,16.4198,5.7576,21.1111,57.1605,29.7222,32.9955,300,71.5666,162,65.56,64.2484,50.8187,39.9471,33.6111,18.642,31.12,220,43.1593,82,32.85,38.4556,31.5947,27.9789,9.281,28.1871,21.4762,140,16.9066,22,8.18,10.6093,5.5219,13.4603,28.1871,28.1871,13.3209,80
frequent_changes,wlc,WLC,16,303,27.2461,0.940924,152.56,29.9726,20,0.23,16.4198,5.7576,21.1111,57.1605,18.5317,31.8065,223,71.5666,-1,-1.0,64.2484,50.8187,39.9471,21.2393,27.2461,37.3287,143,44.7258,-1,-1.0,39.9262,20.6471,18.9403,27.2461,27.2461,26.396,72,24.2702,-1,-1.0,18.8973,20.1487,27.2461,27.2461,27.2461,20.2325,49
frequent_changes,wlc,WLC,17,272,8.701,0.991618,127.49,29.9726,20,13.31,16.4198,5.7576,21.1111,26.4815,8.701,24.3401,192,57.5309,-1,-1.0,49.7685,35.3659,23.5507,25.0,8.701,28.495,138,41.5441,-1,-1.0,36.0915,25.4828,16.5514,8.701,8.701,23.577,69,11.9048,-1,-1.0,8.701,8.701,8.701,8.701,8.701,8.8211,7
frequent_changes,wlc,WLC,19,380,28.1871,0.914391,154.34,29.9726,20,0.24,16.4198,5.7576,21.1111,57.1605,29.7222,32.9887,300,71.5666,162,65.11,64.2484,50.8187,39.9471,33.6111,18.642,31.1132,220,43.1593,82,32.64,38.4556,31.5947,27.9789,9.281,28.1871,21.4762,140,16.9066,22,8.18,10.6093,5.5219,13.4603,28.1871,28.1871,13.3209,80
frequent_changes,wlc,WLC,20,380,24.5029,0.93279,155.09,29.9726,20,0.24,16.4198,5.7576,21.1111,57.1605,33.2044,34.8952,300,71.5666,166,65.57,64.2484,50.8187,39.9471,37.3611,14.7531,33.2245,220,47.6307,106,40.75,44.9517,39.6889,35.2058,8.4028,24.5029,24.773,160,21.5578,26,8.18,15.1254,3.2997,9.4603,24.5029,24.5029,11.9966,80
frequent_changes,saintelague,Sainte-Laguë,1,380,5.2632,0.997628,155.39,29.9726,54,16.51,24.9259,15.1212,8.3333,21.1111,10.0,13.8192,300,31.2629,63,24.38,26.0784,16.6667,9.0476,17.5,0.0,12.2632,220,25.778,56,16.67,21.7,13.6111,6.6379,5.8824,5.2632,10.1944,140,19.6752,43,16.78,16.129,9.0909,2.8571,5.2632,5.2632,7.4976,80
frequent_changes,saintelague,Sainte-Laguë,2,380,3.3333,0.998707,154.79,29.9726,58,16.53,24.9259,15.1212,8.3333,21.1111,5.8631,14.5626,300,31.2629,130,48.83,26.0784,16.6667,9.0476,11.25,3.8889,14.2535,220,28.6765,70,24.43,24.1304,15.2,7.5926,16.875,3.3333,11.8468,160,24.3263,57,16.51,20.6452,13.3333,6.8571,3.3333,3.3333,10.7783,80
frequent_changes,saintelague,Sainte-Laguë,3,305,11.8761,0.988152,153.66,29.9726,58,16.77,24.9259,15.1212,8.3333,20.5556,4.2063,13.0877,225,31.6667,63,24.62,26.43,16.9312,8.7719,3.9039,11.8761,12.8863,146,28.1659,29,31.24,23.792,4.2205,3.4772,11.8761,11.8761,10.4917,77,6.8342,6,0.0,2.8523,4.4682,10.6312,11.8761,11.8761,5.3834,54
frequent_changes,saintelague,Sainte-Laguë,4,379,3.4301,0.998617,154.85,29.9726,61,24.68,24.9259,15.1212,8.3333,21.1111,5.8631,14.9828,299,31.6667,131,48.96,26.43,16.9312,9.2504,11.6313,3.8069,14.4143,220,29.2045,71,24.6,24.6179,15.6124,7.9461,16.6144,3.4301,11.9084,160,24.0741,55,16.52,20.3883,13.0699,6.5903,3.4301,3.4301,10.5985,80
frequent_changes,saintelague,Sainte-Laguë,5,379,2.961,0.99898,155.26,29.9726,61,24.67,24.9259,15.1212,8.3333,20.1235,5.1538,14.3315,299,30.5556,123,49.02,25.378,15.9906,8.3998,10.8644,4.1164,13.9673,220,28.3018,63,24.64,23.7506,14.8148,7.2078,17.1717,2.961,11.6988,160,24.6667,58,16.5,20.9637,13.6103,7.0996,2.961,2.961,10.9216,80
frequent_changes,saintelague,Sainte-Laguë,6,356,3.5581,0.998138,147.64,29.9726,61,24.45,24.9259,15.1212,8.3333,21.1111,5.8631,14.7211,276,31.2629,130,49.7,26.0784,16.6667,9.0476,11.25,3.5581,14.2484,196,29.2045,71,24.61,24.6179,15.6124,7.9461,14.7684,3.5581,12.962,137,23.3071,53,16.78,19.6078,12.2699,5.7803,3.5581,3.5581,12.2024,60
