scenario,algo,algo_label,run_id,n_qos_flows,n_decisions,n_timing,throughput_mean,throughput_std,throughput_min,throughput_max,latency_mean_ms,latency_std_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,jitter_mean_ms,jitter_std_ms,jitter_p95_ms,packet_loss_mean,packet_loss_max,latency_mdev_mean,latency_pre_ms,latency_post_ms,jitter_pre_ms,jitter_post_ms,throughput_pre,throughput_post,loss_pre_pct,loss_post_pct,flow_setup_mean_ms,flow_setup_std_ms,flow_setup_p50_ms,flow_setup_p95_ms,flow_setup_p99_ms,flow_setup_max_ms,end_mape,end_jfi_c,n_flows
steady,wrr,WRR,9,11,0,0,3.144609090909091,0.0009802597058479387,3.1435,3.1456,14.039545454545454,6.372674279509919,18.252,20.116500000000002,20.3089,0.0,0.0,0.0,0.0743,0.0743,0.0,14.039545454545454,14.039545454545454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
steady,wrr,WRR,10,11,0,0,3.1451727272727275,0.0007590664122340177,3.1435,3.1456,11.213909090909091,4.469879471631097,11.057,17.016,18.852,0.0,0.0,0.0,0.04052727272727273,0.0743,0.0,11.213909090909091,11.213909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
steady,wrr,WRR,11,11,0,0,3.1445000000000003,0.0009787747442593735,3.1436,3.1456,15.305454545454545,4.88295542399552,16.722,20.0565,20.0865,0.0,0.0,0.0,0.05403636363636364,0.0743,0.0,15.305454545454545,15.305454545454545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
steady,wrr,WRR,12,11,0,0,3.1446454545454547,0.000963704971828693,3.1436,3.1455,15.971727272727273,4.110687730560644,16.111,19.9725,20.120900000000002,0.0,0.0,0.0,0.05403636363636364,0.0743,0.0,15.971727272727273,15.971727272727273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
steady,wrr,WRR,13,11,0,0,3.144318181818182,0.0009378893131049431,3.1436,3.1455,16.31081818181818,4.514902918517336,19.231,20.5685,20.7609,0.0,0.0,0.0,0.0607909090909091,0.0743,0.0,16.31081818181818,16.31081818181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
steady,wrr,WRR,14,11,0,0,3.144881818181818,0.0008459529322818928,3.1436,3.1455,18.48018181818182,8.550861743920104,18.059,33.8835,34.6783,0.0,0.0,0.0,0.0607909090909091,0.0743,0.0,18.48018181818182,18.48018181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
steady,wrr,WRR,15,11,0,0,3.1453545454545457,0.0006170310143966104,3.1435,3.1456,13.959181818181818,4.333423999983888,14.235,20.474,22.8652,0.0,0.0,0.0,0.020263636363636366,0.0743,0.0,13.959181818181818,13.959181818181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
steady,iwrr,IWRR,1,11,0,0,3.1446545454545456,0.0009913260173763656,3.1436,3.1456,15.02809090909091,5.165865492916854,15.933,20.005000000000003,20.1434,0.0,0.0,0.0,0.04728181818181818,0.0743,0.0,15.02809090909091,15.02809090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
steady,iwrr,IWRR,2,11,0,0,3.1446272727272726,0.001061217139977435,3.1435,3.1456,14.75690909090909,4.928623042078699,15.728,19.323,19.326999999999998,0.0,0.0,0.0,0.04728181818181818,0.0743,0.0,14.75690909090909,14.75690909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
steady,iwrr,IWRR,3,11,0,0,3.144481818181818,0.0010147099899165035,3.1435,3.1456,16.552363636363637,7.126017011946115,17.025,26.657999999999998,31.1644,0.0,0.0,0.0,0.04728181818181818,0.0743,0.0,16.552363636363637,16.552363636363637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
